packet_num,src_mac,dst_mac,seq_num,timestamp
55,6e:9c:cb:eb:98:df,02:00:00:00:00:00,0,2024-09-16 10:37:17.438487
1407,ce:70:9d:77:d4:64,02:00:00:00:00:00,0,2024-09-16 10:37:20.795170
8695,22:c9:38:07:ba:12,02:00:00:00:00:00,0,2024-09-16 10:37:29.958673
8721,7a:53:c0:fe:85:c9,02:00:00:00:00:00,0,2024-09-16 10:37:29.999546
20549,32:e4:28:46:13:a8,02:00:00:00:00:00,0,2024-09-16 10:37:44.952964
20576,1e:15:3e:e9:a3:71,02:00:00:00:00:00,0,2024-09-16 10:37:44.993715
32454,9e:be:f4:63:02:24,02:00:00:00:00:00,0,2024-09-16 10:37:59.951696
32480,ee:e7:85:90:1d:41,02:00:00:00:00:00,0,2024-09-16 10:37:59.992523
44375,2e:ad:19:b0:bc:90,02:00:00:00:00:00,0,2024-09-16 10:38:14.958769
44402,e6:9d:fc:ce:da:ef,02:00:00:00:00:00,0,2024-09-16 10:38:14.999543
